,XLE,XLF,XLU,XLI,GDX,XLK,XLV,XLY,XLP,XLB,XOP,IYR,XHB,ITB,VNQ,GDXJ,IYE,OIH,XME,XRT,SMH,IBB,KBE,KRE,XTL
sell_count,42.403947832217135,32.78110680296088,30.595699682763485,31.441663729291502,55.868875572788156,27.564328516038067,26.295382446246034,26.542121959816704,27.211843496651394,32.92210081071554,46.52802255904124,31.864645752555514,33.20408882622489,37.08142403947832,33.486076841734224,57.63130066972154,42.96792386323581,53.542474444836095,49.383151216073315,39.513570673246385,29.60874162848079,35.777229467747624,38.8438491364117,38.27987310539302,39.09058864998238
buy_count,57.59605216778287,67.21889319703914,69.40430031723652,68.5583362707085,44.131124427211844,72.43567148396193,73.70461755375398,73.45787804018329,72.78815650334862,67.07789918928445,53.47197744095876,68.13535424744448,66.79591117377511,62.918575960521686,66.51392315826577,42.36869933027847,57.03207613676419,46.457525555163905,50.616848783926685,60.48642932675361,70.3912583715192,64.22277053225238,61.1561508635883,61.72012689460698,60.90941135001763
balanced_accuracy_score,0.7794711235502165,0.7613143512845946,0.5514465344510325,0.7770216069349204,0.7182450907283122,0.7728946996361254,0.6718094527826979,0.7503912363067293,0.7427773810296696,0.7737322201607916,0.7763690472885563,0.7262448307164711,0.8021071196509793,0.7797462406015037,0.737523358096714,0.6701428595335449,0.7081730221969267,0.7689454160042395,0.7399973502914678,0.7795568005486235,0.7504588431590656,0.7828864462680358,0.7460389077698348,0.7587017761650114,0.7280215428480912
True_Buys %,46.009389671361504,52.46478873239436,66.90140845070422,54.22535211267606,35.2112676056338,60.328638497652584,69.01408450704226,60.44600938967136,55.751173708920184,53.990610328638496,37.441314553990615,53.755868544600936,53.286384976525824,49.76525821596244,53.755868544600936,17.48826291079812,41.19718309859155,35.68075117370892,39.31924882629108,49.06103286384976,59.97652582159625,55.28169014084507,47.417840375586856,49.413145539906104,46.478873239436616
False_Buys %,12.55868544600939,16.901408450704224,1.643192488262911,15.023474178403756,12.323943661971832,15.140845070422534,5.046948356807512,14.553990610328638,18.544600938967136,15.023474178403756,16.901408450704224,17.48826291079812,13.262910798122066,12.676056338028168,15.845070422535212,26.995305164319248,17.72300469483568,12.206572769953052,12.793427230046946,12.323943661971832,12.793427230046946,9.389671361502346,14.788732394366196,14.43661971830986,15.845070422535212
True_Sells %,32.04225352112676,23.474178403755868,3.9906103286384975,23.708920187793428,36.502347417840376,18.30985915492958,10.68075117370892,17.370892018779344,18.896713615023476,23.708920187793428,39.436619718309856,20.070422535211268,26.877934272300468,28.638497652582164,21.36150234741784,52.58215962441315,29.460093896713612,41.31455399061033,34.74178403755869,29.342723004694836,18.427230046948356,25.11737089201878,27.582159624413144,26.877934272300468,26.76056338028169
False_Sells %,9.389671361502346,7.159624413145541,27.464788732394368,7.042253521126761,15.96244131455399,6.220657276995305,15.258215962441316,7.629107981220658,6.807511737089202,7.276995305164319,6.220657276995305,8.685446009389672,6.572769953051644,8.92018779342723,9.03755868544601,2.9342723004694835,11.619718309859154,10.7981220657277,13.145539906103288,9.272300469483568,8.80281690140845,10.211267605633804,10.211267605633804,9.272300469483568,10.915492957746478
Classification_Report,"                   pre       rec       spe        f1       geo       iba       sup

        buy       0.83      0.79      0.77      0.81      0.78      0.61       499
       sell       0.72      0.77      0.79      0.74      0.78      0.61       353

avg / total       0.78      0.78      0.78      0.78      0.78      0.61       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.88      0.76      0.77      0.81      0.76      0.58       591
       sell       0.58      0.77      0.76      0.66      0.76      0.58       261

avg / total       0.79      0.76      0.76      0.77      0.76      0.58       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.71      0.98      0.13      0.82      0.35      0.13       584
       sell       0.71      0.13      0.98      0.22      0.35      0.11       268

avg / total       0.71      0.71      0.39      0.63      0.35      0.13       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.89      0.78      0.77      0.83      0.78      0.60       590
       sell       0.61      0.77      0.78      0.68      0.78      0.60       262

avg / total       0.80      0.78      0.77      0.79      0.78      0.60       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.69      0.74      0.70      0.71      0.72      0.52       405
       sell       0.75      0.70      0.74      0.72      0.72      0.51       447

avg / total       0.72      0.72      0.72      0.72      0.72      0.52       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.91      0.80      0.75      0.85      0.77      0.60       643
       sell       0.55      0.75      0.80      0.63      0.77      0.59       209

avg / total       0.82      0.79      0.76      0.80      0.77      0.60       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.82      0.93      0.41      0.87      0.62      0.40       631
       sell       0.68      0.41      0.93      0.51      0.62      0.36       221

avg / total       0.78      0.80      0.55      0.78      0.62      0.39       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.89      0.81      0.69      0.84      0.75      0.57       639
       sell       0.54      0.69      0.81      0.61      0.75      0.55       213

avg / total       0.80      0.78      0.72      0.79      0.75      0.56       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.89      0.75      0.74      0.81      0.74      0.55       633
       sell       0.50      0.74      0.75      0.60      0.74      0.55       219

avg / total       0.79      0.75      0.74      0.76      0.74      0.55       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.88      0.78      0.77      0.83      0.77      0.60       588
       sell       0.61      0.77      0.78      0.68      0.77      0.60       264

avg / total       0.80      0.78      0.77      0.78      0.77      0.60       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.86      0.69      0.86      0.76      0.77      0.58       463
       sell       0.70      0.86      0.69      0.77      0.77      0.61       389

avg / total       0.79      0.77      0.78      0.77      0.77      0.59       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.86      0.75      0.70      0.80      0.73      0.53       607
       sell       0.53      0.70      0.75      0.61      0.73      0.52       245

avg / total       0.77      0.74      0.71      0.75      0.73      0.53       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.89      0.80      0.80      0.84      0.80      0.64       567
       sell       0.67      0.80      0.80      0.73      0.80      0.64       285

avg / total       0.82      0.80      0.80      0.81      0.80      0.64       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.85      0.80      0.76      0.82      0.78      0.61       532
       sell       0.69      0.76      0.80      0.73      0.78      0.61       320

avg / total       0.79      0.78      0.78      0.79      0.78      0.61       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.86      0.77      0.70      0.81      0.74      0.55       593
       sell       0.57      0.70      0.77      0.63      0.74      0.54       259

avg / total       0.77      0.75      0.72      0.76      0.74      0.54       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.86      0.39      0.95      0.54      0.61      0.35       379
       sell       0.66      0.95      0.39      0.78      0.61      0.39       473

avg / total       0.75      0.70      0.64      0.67      0.61      0.37       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.78      0.70      0.72      0.74      0.71      0.50       502
       sell       0.62      0.72      0.70      0.67      0.71      0.50       350

avg / total       0.72      0.71      0.71      0.71      0.71      0.50       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.77      0.75      0.79      0.76      0.77      0.59       408
       sell       0.77      0.79      0.75      0.78      0.77      0.59       444

avg / total       0.77      0.77      0.77      0.77      0.77      0.59       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.75      0.75      0.73      0.75      0.74      0.55       444
       sell       0.73      0.73      0.75      0.73      0.74      0.55       408

avg / total       0.74      0.74      0.74      0.74      0.74      0.55       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.84      0.80      0.76      0.82      0.78      0.61       523
       sell       0.70      0.76      0.80      0.73      0.78      0.60       329

avg / total       0.79      0.78      0.78      0.79      0.78      0.61       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.87      0.82      0.68      0.85      0.75      0.57       620
       sell       0.59      0.68      0.82      0.63      0.75      0.55       232

avg / total       0.80      0.78      0.72      0.79      0.75      0.56       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.84      0.85      0.71      0.85      0.78      0.62       551
       sell       0.73      0.71      0.85      0.72      0.78      0.60       301

avg / total       0.80      0.80      0.76      0.80      0.78      0.61       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.82      0.76      0.73      0.79      0.75      0.56       530
       sell       0.65      0.73      0.76      0.69      0.75      0.55       322

avg / total       0.76      0.75      0.74      0.75      0.75      0.56       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.84      0.77      0.74      0.81      0.76      0.58       544
       sell       0.65      0.74      0.77      0.69      0.76      0.57       308

avg / total       0.77      0.76      0.75      0.77      0.76      0.58       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.81      0.75      0.71      0.78      0.73      0.53       531
       sell       0.63      0.71      0.75      0.67      0.73      0.53       321

avg / total       0.74      0.73      0.72      0.74      0.73      0.53       852
"
Buy_Precision,0.83,0.88,0.71,0.89,0.69,0.91,0.82,0.89,0.89,0.88,0.86,0.86,0.89,0.85,0.86,0.86,0.78,0.77,0.75,0.84,0.87,0.84,0.82,0.84,0.81
Sell_Precision,0.72,0.58,0.71,0.61,0.75,0.55,0.68,0.54,0.5,0.61,0.7,0.53,0.67,0.69,0.57,0.66,0.62,0.77,0.73,0.7,0.59,0.73,0.65,0.65,0.63
Buy_Recall,0.79,0.76,0.98,0.78,0.74,0.8,0.93,0.81,0.75,0.78,0.69,0.75,0.8,0.8,0.77,0.39,0.7,0.75,0.75,0.8,0.82,0.85,0.76,0.77,0.75
Sell_Recall,0.77,0.77,0.13,0.77,0.7,0.75,0.41,0.69,0.74,0.77,0.86,0.7,0.8,0.76,0.7,0.95,0.72,0.79,0.73,0.76,0.68,0.71,0.73,0.74,0.71
BackTest % Return,-71.113,-71.352,128.42499999999998,-75.75699999999999,-87.432,-18.396,109.101,-68.296,-68.329,-72.27,-24.073,-72.978,-71.67999999999999,-65.61099999999999,-65.47699999999999,-35.943999999999996,-81.365,-22.316,-45.165,-73.411,-35.351,-23.762,-75.86,-74.89,-78.51
